Title,Categoria,Temporada,Episodio,Date
Friends: Temporada 7: Aquele em que Rosita morre,,,,09/07/2018
Friends: Temporada 7: Aquele em que eles ficam acordados a noite toda,,,,09/07/2018
Friends: Temporada 7: Aquele com os cheesecakes,,,,09/07/2018
Ultimate Homem-Aranha: Temporada 1: Grande poder,,,,08/07/2018
Champions: Temporada 1: Acho que vou tolerar esse lugar,,,,08/07/2018
Champions: Temporada 1: Piloto,,,,08/07/2018
VinganÃ§a ao Anoitecer,,,,06/07/2018
Secret City: Uma doaÃ§Ã£o para a luta,,,,06/07/2018
Kiss Me First: Temporada 1: Alguma coisa ela fez,,,,05/07/2018
Prenda-Me Se for Capaz,,,,03/07/2018
Ashby,,,,03/07/2018
A Chefa,,,,02/07/2018
Amityville: O Despertar,,,,02/07/2018
La playa de los ahogados,,,,02/07/2018
Neve Negra,,,,02/07/2018
Chappie,,,,02/07/2018
Um hotel bom pra cachorro,,,,02/07/2018
"Pizza, Cerveja, Cigarro",,,,02/07/2018
O Bar,,,,01/07/2018
Explicando: Temporada 1: Campeonato de games,,,,01/07/2018
Manhunt: Unabomber: Provas ilÃ­citas,,,,01/07/2018
Manhunt: Unabomber: Pura aqua,,,,01/07/2018
Manhunt: Unabomber: ForÃ§a-tarefa UNABOM,,,,01/07/2018
Face a Face: Temporada 1: Jobs vs Gates,,,,01/07/2018
Trocando as Bolas,,,,01/07/2018
O Plano Imperfeito,,,,30/06/2018
Nerve,,,,30/06/2018
"Se enlouquecer, nÃ£o se apaixone",,,,30/06/2018
O Leitor,,,,30/06/2018
Corpo Fechado,,,,29/06/2018
Explicando: Temporada 1: Monogamia,,,,28/06/2018
Explicando: Temporada 1: Criptomoedas,,,,28/06/2018
Explicando: Temporada 1: K-Pop,,,,27/06/2018
Explicando: Temporada 1: Porque as dietas dÃ£o errado,,,,27/06/2018
Explicando: Temporada 1: O mercado de aÃ§Ãµes,,,,27/06/2018
Minority Report - A Nova Lei,,,,27/06/2018
Quem foi? - A SÃ©rie: Temporada 1: Isaac Newton e Amelia Earhart,,,,27/06/2018
O solista,,,,27/06/2018
Archer: Temporada 1: Piloto: CaÃ§ando um espiÃ£o duplo,,,,27/06/2018
Archer: Temporada 1: Matando Utne,,,,27/06/2018
Archer: Temporada 1: HoneyPot,,,,27/06/2018
Archer: Temporada 1: Diversidade,,,,27/06/2018
La casa de papel: Parte 1: EpisÃ³dio 1,,,,26/06/2018
Os IncrÃ­veis,,,,26/06/2018
Archer: Temporada 1: Dia de treino,,,,26/06/2018
Naruto: Temporada 1: My Name Is Konohamaru!,,,,26/06/2018
Naruto: Temporada 1: Enter: Naruto Uzumaki!,,,,26/06/2018
Mortdecai: A Arte da TrapaÃ§a,,,,25/06/2018
Aggretsuko: Temporada 1: Casamento,,,,25/06/2018
Borges: Temporada 1: Borges,,,,25/06/2018
O Vazio: Temporada 1: Colrath,,,,24/06/2018
O Vazio: Temporada 1: Casulo,,,,24/06/2018
O Vazio: Temporada 1: Gelo,,,,24/06/2018
O Vazio: Temporada 1: O enigma,,,,24/06/2018
O Vazio: Temporada 1: Mortos-vivos,,,,24/06/2018
O Vazio: Temporada 1: Ishibo,,,,24/06/2018
O Vazio: Temporada 1: O farol,,,,24/06/2018
Era uma vez: Temporada 1: Almas desesperadas,,,,24/06/2018
Era uma vez: Temporada 1: CoraÃ§Ã£o Ã© um caÃ§ador solitÃ¡rio,,,,24/06/2018
O Vazio: Temporada 1: Apocalipse,,,,24/06/2018
O Vazio: Temporada 1: O deserto,,,,23/06/2018
Era uma vez: Temporada 1: O pastor,,,,23/06/2018
Era uma vez: Temporada 1: A voz interior,,,,23/06/2018
Era uma vez: Temporada 1: O preÃ§o da magia,,,,23/06/2018
Era uma vez: Temporada 1: Neve e paixÃ£o,,,,23/06/2018
O Vazio: Temporada 1: O quarto,,,,23/06/2018
Era uma vez: Temporada 1: Aquilo que vocÃª mais ama,,,,23/06/2018
Era uma vez: Temporada 1: Piloto,,,,23/06/2018
Deixe-me entrar,,,,23/06/2018
Orange Is the New Black: Temporada 1: Eu nÃ£o estava pronta,,,,23/06/2018
A Entidade 2,,,,23/06/2018
LÃ­da BaarovÃ¡,,,,23/06/2018
"Suits: Temporada 4: CafÃ©, almoÃ§o e janta",,,,22/06/2018
"Suits: Temporada 4: Um, dois, trÃªs e jÃ¡!",,,,22/06/2018
Suits: Temporada 1: Piloto: partes 1 e 2,,,,22/06/2018
Dirk Gently's Holistic Detective Agency: Temporada 2: Belo casaco,,,,20/06/2018
Dirk Gently's Holistic Detective Agency: Temporada 2: O problema Ã© sÃ©rio,,,,20/06/2018
"Dirk Gently's Holistic Detective Agency: Temporada 2: Baixinha, de cabelo preto",,,,20/06/2018
Dirk Gently's Holistic Detective Agency: Temporada 2: Isso nÃ£o Ã© Miami,,,,20/06/2018
Dirk Gently's Holistic Detective Agency: Temporada 2: Poder feminino,,,,20/06/2018
Borges: Temporada 1: Canal do leste europeu,,,,19/06/2018
Borges: Temporada 1: O fiscal,,,,19/06/2018
Borges: Temporada 1: Evento de anime,,,,19/06/2018
"Borges: Temporada 1: Gay, fÃ£ ou assaltante?",,,,19/06/2018
Dirk Gently's Holistic Detective Agency: Temporada 2: Formas e cores,,,,18/06/2018
"Borges: Temporada 1: Borges, enquanto isso...",,,,18/06/2018
Borges: Temporada 1: Exame periÃ³dico,,,,18/06/2018
Borges: Temporada 1: Tapicrepe,,,,18/06/2018
Borges: Temporada 1: ReligiÃ£o,,,,18/06/2018
Borges: Temporada 1: Viral,,,,18/06/2018
Dirk Gently's Holistic Detective Agency: Temporada 2: A casa dentro da casa,,,,18/06/2018
Os IntocÃ¡veis,,,,17/06/2018
Dirk Gently's Holistic Detective Agency: Temporada 2: Dois dedos quebrados,,,,17/06/2018
Dirk Gently's Holistic Detective Agency: Temporada 2: FÃ£s de cÃ­rculos molhados,,,,17/06/2018
Dirk Gently's Holistic Detective Agency: Temporada 2: Coelho espacial,,,,17/06/2018
Dirk Gently's Holistic Detective Agency: Temporada 1: Dois caras normais,,,,16/06/2018
"Dirk Gently's Holistic Detective Agency: Temporada 1: Sua alma, sua arma",,,,16/06/2018
Dirk Gently's Holistic Detective Agency: Temporada 1: Consertando tudo,,,,16/06/2018
Dirk Gently's Holistic Detective Agency: Temporada 1: Muito ereto,,,,16/06/2018
Billions: Temporada 1: Fechando o cerco,,,,16/06/2018
Stranger Things: Stranger Things 2: CapÃ­tulo nove: O portal,,,,15/06/2018
Stranger Things: Stranger Things 2: CapÃ­tulo oito: O Devorador de Mentes,,,,15/06/2018
Stranger Things: Stranger Things 2: CapÃ­tulo sete: A irmÃ£ perdida,,,,15/06/2018
Stranger Things: Stranger Things 2: CapÃ­tulo seis: O espiÃ£o,,,,14/06/2018
Stranger Things: Stranger Things 2: CapÃ­tulo cinco: Dig Dug,,,,14/06/2018
"Stranger Things: Stranger Things 2: CapÃ­tulo quatro: Will, o sÃ¡bio",,,,14/06/2018
Billions: Temporada 1: Piloto,,,,14/06/2018
Stranger Things: Stranger Things 2: CapÃ­tulo trÃªs: O girino,,,,13/06/2018
"Stranger Things: Stranger Things 2: CapÃ­tulo dois: Gostosura ou travessura, aberraÃ§Ã£o",,,,13/06/2018
Stranger Things: Stranger Things 2: CapÃ­tulo um: Mad Max,,,,13/06/2018
Stranger Things: CapÃ­tulo oito: De ponta-cabeÃ§a,,,,12/06/2018
Stranger Things: CapÃ­tulo sete: A banheira,,,,12/06/2018
Stranger Things: CapÃ­tulo seis: O monstro,,,,12/06/2018
Stranger Things: CapÃ­tulo cinco: A pulga e o acrobata,,,,12/06/2018
Vanilla Sky,,,,12/06/2018
Stranger Things: CapÃ­tulo quatro: O corpo,,,,11/06/2018
Stranger Things: CapÃ­tulo trÃªs: Caramba,,,,11/06/2018
Stranger Things: CapÃ­tulo dois: A estranha da Maple Street,,,,11/06/2018
Stranger Things: CapÃ­tulo um: O desaparecimento de Will Byers,,,,11/06/2018
Caminho a La Paz,,,,11/06/2018
ProfissÃ£o de Risco,,,,07/06/2018
Sherlock: Temporada 2: A queda de Reichenbach,,,,03/06/2018
Sherlock: Temporada 2: Um escÃ¢ndalo em BelgrÃ¡via,,,,03/06/2018
Sherlock: Temporada 2: Os cÃ£es de Baskerville,,,,03/06/2018
Sherlock: Temporada 1: O grande jogo,,,,03/06/2018
